,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000005.SZ,20211111,2.12,2.14,2.11,2.13,2.12,0.009999999999999787,0.4717,68316.38,14545.752
1,000005.SZ,20211110,2.14,2.14,2.09,2.12,2.14,-0.020000000000000018,-0.9346,81110.08,17125.224
2,000005.SZ,20211109,2.12,2.16,2.11,2.14,2.13,0.010000000000000231,0.4695,78579.28,16761.524
3,000005.SZ,20211108,2.09,2.15,2.07,2.13,2.08,0.04999999999999982,2.4038,101012.22,21400.255
4,000005.SZ,20211105,2.08,2.11,2.06,2.08,2.09,-0.009999999999999787,-0.4785,75493.91,15735.612
5,000005.SZ,20211104,2.09,2.1,2.04,2.09,2.09,0.0,0.0,87142.51,18050.949
6,000005.SZ,20211103,2.06,2.1,2.05,2.09,2.07,0.020000000000000018,0.9662,73529.67,15255.666
7,000005.SZ,20211102,2.15,2.16,2.06,2.07,2.16,-0.0900000000000003,-4.1667,174514.5,36436.635
8,000005.SZ,20211101,2.18,2.18,2.15,2.16,2.19,-0.029999999999999805,-1.3699,67938.0,14713.855
9,000005.SZ,20211029,2.16,2.19,2.14,2.19,2.17,0.020000000000000018,0.9217,87380.68,18901.535
10,000005.SZ,20211028,2.17,2.23,2.14,2.17,2.19,-0.020000000000000018,-0.9132,85856.62,18711.223
11,000005.SZ,20211027,2.22,2.24,2.17,2.19,2.23,-0.040000000000000036,-1.7937,82444.06,18092.031
12,000005.SZ,20211026,2.25,2.28,2.23,2.23,2.26,-0.029999999999999805,-1.3274,83207.01,18731.435
13,000005.SZ,20211025,2.26,2.28,2.23,2.26,2.26,0.0,0.0,81085.59,18342.172
14,000005.SZ,20211022,2.3,2.31,2.25,2.26,2.29,-0.03000000000000025,-1.31,86240.32,19622.258
15,000005.SZ,20211021,2.26,2.32,2.25,2.29,2.28,0.010000000000000231,0.4386,136323.93,31218.24
16,000005.SZ,20211020,2.22,2.31,2.19,2.28,2.22,0.05999999999999961,2.7027,157885.78,35656.192
17,000005.SZ,20211019,2.22,2.26,2.21,2.22,2.22,0.0,0.0,84017.0,18735.784
18,000005.SZ,20211018,2.22,2.24,2.19,2.22,2.28,-0.05999999999999961,-2.6316,204383.73,45358.937
19,000005.SZ,20211015,2.23,2.28,2.2,2.28,2.17,0.10999999999999988,5.0691,303330.03,68968.5
20,000005.SZ,20211014,2.17,2.17,2.11,2.17,2.17,0.0,0.0,64710.0,13907.593
21,000005.SZ,20211013,2.19,2.2,2.14,2.17,2.2,-0.03000000000000025,-1.3636,74808.15,16225.538
22,000005.SZ,20211012,2.21,2.25,2.17,2.2,2.23,-0.029999999999999805,-1.3453,85729.0,18975.077
23,000005.SZ,20211011,2.17,2.25,2.16,2.23,2.17,0.06000000000000005,2.765,118377.18,26179.646
24,000005.SZ,20211008,2.13,2.19,2.12,2.17,2.11,0.06000000000000005,2.8436,77105.55,16595.198
25,000005.SZ,20210930,2.07,2.12,2.06,2.11,2.07,0.040000000000000036,1.9324,63661.9,13286.892
26,000005.SZ,20210929,2.14,2.15,2.06,2.07,2.16,-0.0900000000000003,-4.1667,102151.0,21474.45
27,000005.SZ,20210928,2.13,2.17,2.11,2.16,2.15,0.010000000000000231,0.4651,73134.23,15667.471
28,000005.SZ,20210927,2.25,2.26,2.15,2.15,2.26,-0.10999999999999988,-4.8673,163228.84,35587.429
29,000005.SZ,20210924,2.32,2.32,2.26,2.26,2.33,-0.07000000000000028,-3.0043,129060.0,29475.748
30,000005.SZ,20210923,2.29,2.34,2.27,2.33,2.29,0.040000000000000036,1.7467,153650.24,35453.852
31,000005.SZ,20210922,2.24,2.31,2.19,2.29,2.26,0.03000000000000025,1.3274,113765.95,25912.234
32,000005.SZ,20210917,2.27,2.3,2.23,2.26,2.28,-0.020000000000000018,-0.8772,95837.59,21725.636
33,000005.SZ,20210916,2.29,2.32,2.26,2.28,2.29,-0.010000000000000231,-0.4367,102530.22,23412.903
34,000005.SZ,20210915,2.25,2.31,2.24,2.29,2.27,0.020000000000000018,0.8811,84257.5,19265.994
35,000005.SZ,20210914,2.31,2.32,2.25,2.27,2.32,-0.04999999999999982,-2.1552,145508.0,33145.107
36,000005.SZ,20210913,2.26,2.35,2.26,2.32,2.25,0.06999999999999984,3.1111,178321.33,41183.515
37,000005.SZ,20210910,2.31,2.31,2.25,2.25,2.32,-0.06999999999999984,-3.0172,169818.0,38710.884
38,000005.SZ,20210909,2.31,2.33,2.28,2.32,2.31,0.009999999999999787,0.4329,135770.87,31254.643
39,000005.SZ,20210908,2.28,2.34,2.26,2.31,2.29,0.020000000000000018,0.8734,151764.71,34888.197
40,000005.SZ,20210907,2.26,2.32,2.26,2.29,2.26,0.03000000000000025,1.3274,153792.21,35203.352
41,000005.SZ,20210906,2.32,2.36,2.26,2.26,2.34,-0.08000000000000007,-3.4188,196038.33,44846.817
42,000005.SZ,20210903,2.36,2.43,2.33,2.34,2.38,-0.040000000000000036,-1.6807,236059.01,55648.587
43,000005.SZ,20210902,2.33,2.4,2.27,2.38,2.36,0.020000000000000018,0.8475,327271.82,76266.239
44,000005.SZ,20210901,2.51,2.51,2.29,2.36,2.39,-0.03000000000000025,-1.2552,608189.79,145668.922
45,000005.SZ,20210831,2.39,2.39,2.39,2.39,2.28,0.11000000000000032,4.8246,44144.36,10550.502
46,000005.SZ,20210830,2.19,2.28,2.18,2.28,2.17,0.10999999999999988,5.0691,249508.58,56620.808
47,000005.SZ,20210827,2.17,2.24,2.15,2.17,2.17,0.0,0.0,282435.63,61850.644
48,000005.SZ,20210826,2.17,2.17,2.11,2.17,2.16,0.009999999999999787,0.463,214771.92,46079.901
49,000005.SZ,20210825,2.06,2.16,2.06,2.16,2.06,0.10000000000000009,4.8544,273980.7,58370.394
50,000005.SZ,20210824,2.09,2.09,2.05,2.06,2.09,-0.029999999999999805,-1.4354,89019.83,18460.035
