ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,1991-05-10,2.4271,2.4271,2.4271,2.4271,2.4392,-0.0121000000000002,-0.4961,20.0,84.0
000001.SZ,1991-05-13,2.4028,2.4028,2.4028,2.4028,2.4271,-0.0242999999999997,-1.0012,19.0,79.0
000001.SZ,1991-05-14,2.3907,2.3907,2.3907,2.3907,2.4028,-0.0121000000000002,-0.5036,55.0,227.0
000001.SZ,1991-05-15,2.3785,2.3785,2.3785,2.3785,2.3907,-0.0121999999999999,-0.5103,387.0,1591.0
000001.SZ,1991-05-16,2.3664,2.3664,2.3664,2.3664,2.3785,-0.0120999999999997,-0.5087,493.0,2017.0
000001.SZ,1991-05-17,2.3548,2.3548,2.3548,2.3548,2.3664,-0.0116,-0.4902,419.0,1706.0
000001.SZ,1991-05-17,2.3548,2.3548,2.3548,2.3548,2.3664,-0.0116,-0.4902,419.0,1706.0
000001.SZ,1991-05-20,2.3317,2.3317,2.3317,2.3317,2.3548,-0.0230999999999999,-0.981,51.0,205.0
000001.SZ,1991-05-21,2.3201,2.3201,2.3201,2.3201,2.3317,-0.0116,-0.4975,63.0,253.0
000001.SZ,1991-05-22,2.3085,2.3085,2.3085,2.3085,2.3201,-0.0116,-0.5,43.0,171.0
000001.SZ,1991-05-23,2.2969,2.2969,2.2969,2.2969,2.3085,-0.0116,-0.5025,17.0,67.0
000001.SZ,1991-05-24,2.2854,2.2854,2.2854,2.2854,2.2969,-0.0114999999999998,-0.5007,3.0,12.0
000001.SZ,1991-05-24,2.2854,2.2854,2.2854,2.2854,2.2969,-0.0114999999999998,-0.5007,3.0,12.0
000001.SZ,1991-05-27,2.2622,2.2622,2.2622,2.2622,2.2854,-0.0232000000000001,-1.0151,5.0,19.0
000001.SZ,1991-05-28,2.2507,2.2507,2.2507,2.2507,2.2622,-0.0114999999999998,-0.5084,3.0,12.0
000001.SZ,1991-05-29,2.2397,2.2397,2.2397,2.2397,2.2507,-0.0110000000000001,-0.4887,36.0,139.0
000001.SZ,1991-05-30,2.2287,2.2287,2.2287,2.2287,2.2397,-0.0110000000000001,-0.4911,14.0,54.0
000001.SZ,1991-05-31,2.2177,2.2177,2.2177,2.2177,2.2287,-0.0110000000000001,-0.4936,1.0,4.0
000001.SZ,1991-06-07,2.1518,2.1518,2.1518,2.1518,2.1628,-0.0109999999999996,-0.5086,1.0,4.0
000001.SZ,1991-06-10,2.1298,2.1298,2.1298,2.1298,2.1518,-0.0220000000000002,-1.0224,15.0,55.0
000001.SZ,1991-06-11,2.1194,2.1194,2.1194,2.1194,2.1298,-0.0103999999999997,-0.4883,12.0,44.0
000001.SZ,1991-06-12,2.109,2.109,2.109,2.109,2.1194,-0.0104000000000001,-0.4907,15.0,55.0
000001.SZ,1991-06-13,2.0985,2.0985,2.0985,2.0985,2.109,-0.0104999999999999,-0.4979,34.0,123.0
000001.SZ,1991-06-14,2.0881,2.0881,2.0881,2.0881,2.0985,-0.0104000000000001,-0.4956,7.0,25.0
000001.SZ,1991-06-14,2.0881,2.0881,2.0881,2.0881,2.0985,-0.0104000000000001,-0.4956,7.0,25.0
000001.SZ,1991-06-17,2.0673,2.0673,2.0673,2.0673,2.0881,-0.0207999999999999,-0.9961,5.0,18.0
000001.SZ,1991-06-18,2.0569,2.0569,2.0569,2.0569,2.0673,-0.0103999999999997,-0.5031,10.0,35.0
000001.SZ,1991-06-19,2.0465,2.0465,2.0465,2.0465,2.0569,-0.0104000000000001,-0.5056,57.0,202.0
000001.SZ,1991-06-20,2.0361,2.0361,2.0361,2.0361,2.0465,-0.0104000000000001,-0.5082,30.0,105.0
000001.SZ,1991-06-21,2.0257,2.0257,2.0257,2.0257,2.0361,-0.0103999999999997,-0.5108,2.0,7.0
000001.SZ,1991-06-21,2.0257,2.0257,2.0257,2.0257,2.0361,-0.0103999999999997,-0.5108,2.0,7.0
000001.SZ,1991-06-24,2.0054,2.0054,2.0054,2.0054,2.0257,-0.0203000000000002,-1.0021,25.0,87.0
000001.SZ,1991-06-25,1.9956,1.9956,1.9956,1.9956,2.0054,-0.0097999999999998,-0.4887,12.0,41.0
000001.SZ,1991-06-26,1.9858,1.9858,1.9858,1.9858,1.9956,-0.0098,-0.4911,4.0,14.0
000001.SZ,1991-06-27,1.9759,1.9759,1.9759,1.9759,1.9858,-0.0099,-0.4985,4.0,14.0
000001.SZ,1991-06-28,1.9661,1.9661,1.9661,1.9661,1.9759,-0.0098,-0.496,2.0,7.0
000001.SZ,1991-07-26,1.7434,1.7434,1.7434,1.7434,1.7607,-0.0172999999999998,-0.9826,3.0,9.0
000001.SZ,1991-07-29,1.726,1.726,1.726,1.726,1.7434,-0.0174,-0.998,7.0,21.0
000001.SZ,1991-07-30,1.7174,1.7174,1.7174,1.7174,1.726,-0.0085999999999999,-0.4983,7.0,21.0
000001.SZ,1991-07-31,1.7087,1.7087,1.7087,1.7087,1.7174,-0.0086999999999999,-0.5066,1.0,3.0
000001.SZ,1991-08-01,1.7,1.7,1.7,1.7,1.7087,-0.0087000000000001,-0.5092,7.0,20.0
000001.SZ,1991-08-02,1.6913,1.6913,1.6913,1.6913,1.7,-0.0086999999999999,-0.5118,1.0,3.0
000001.SZ,1991-08-02,1.6913,1.6913,1.6913,1.6913,1.7,-0.0086999999999999,-0.5118,1.0,3.0
000001.SZ,1991-08-19,1.713,1.7452,1.6916,1.7452,1.6916,0.0536,3.1686,3100.0,4983.0
000001.SZ,1991-08-20,1.7452,1.7452,1.6809,1.6863,1.7452,-0.0589000000000001,-3.375,1969.0,3135.0
000001.SZ,1991-08-21,1.6863,1.6863,1.6381,1.6649,1.6863,-0.0213999999999998,-1.2691,3431.0,5300.0
000001.SZ,1991-08-22,1.6649,1.6649,1.5953,1.5953,1.6649,-0.0696000000000001,-4.1804,2841.0,4298.0
000001.SZ,1991-08-23,1.5953,1.622,1.531,1.606,1.5953,0.0107000000000001,0.6707,4381.0,6405.0
000001.SZ,1991-08-23,1.5953,1.622,1.531,1.606,1.5953,0.0107000000000001,0.6707,4381.0,6405.0
000001.SZ,1991-08-26,1.6702,1.6702,1.6381,1.6488,1.606,0.0427999999999999,2.665,2772.0,4267.0
000001.SZ,1991-08-27,1.6435,1.6488,1.6167,1.6274,1.6488,-0.0214,-1.2979,2085.0,3177.0
000001.SZ,1991-08-28,1.6327,1.6327,1.606,1.6167,1.6274,-0.0106999999999999,-0.6575,2439.0,3688.0
000001.SZ,1991-08-29,1.6113,1.622,1.606,1.6167,1.6167,0.0,0.0,2296.0,3455.0
000001.SZ,1991-08-30,1.606,1.6167,1.606,1.6113,1.6167,-0.0054,-0.334,2251.0,3379.0
000001.SZ,1991-08-30,1.606,1.6167,1.606,1.6113,1.6167,-0.0054,-0.334,2251.0,3379.0
000001.SZ,1991-09-02,1.606,1.606,1.5685,1.606,1.6113,-0.0052999999999998,-0.3289,2316.0,3440.0
000001.SZ,1991-09-03,1.606,1.606,1.5739,1.606,1.606,0.0,0.0,2874.0,4271.0
000001.SZ,1991-09-04,1.5846,1.5899,1.5739,1.5899,1.606,-0.0161,-1.0025,1604.0,2367.0
000001.SZ,1991-09-05,1.5739,1.5739,1.531,1.5632,1.5899,-0.0267000000000001,-1.6794,4840.0,7030.0
000001.SZ,1991-09-06,1.531,1.531,1.4454,1.4668,1.5632,-0.0963999999999998,-6.1668,3267.0,4506.0
000001.SZ,1991-09-06,1.531,1.531,1.4454,1.4668,1.5632,-0.0963999999999998,-6.1668,3267.0,4506.0
000001.SZ,1991-09-09,1.4668,1.4882,1.4668,1.4882,1.4668,0.0213999999999998,1.459,6297.0,8653.0
000001.SZ,1991-09-10,1.4668,1.4936,1.4668,1.4936,1.4882,0.0054,0.3629,4235.0,5856.0
000001.SZ,1991-09-11,1.4829,1.5417,1.4829,1.5417,1.4936,0.0481,3.2204,4528.0,6351.0
000001.SZ,1991-09-12,1.5364,1.5524,1.531,1.5471,1.5417,0.0053999999999998,0.3503,3524.0,5086.0
000001.SZ,1991-09-13,1.5417,1.5524,1.531,1.5524,1.5471,0.0053,0.3426,7525.0,10822.0
